Datetime,Ticker,Industry,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Income,Non-Operating Income Loss,Pretax Income,Income Tax Expense,Net Extraordinary Losses,Net Income,"Basic EPS, GAAP",Diluted Weighted Avr # of Shares,"Diluted EPS, GAAP",EBITDA,Trailing 12M EBITDA Margin,Gross Margin,Operating Margin,Profit Margin,Dividends per Share,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Non-Cash Working Capital,Change in Accounts & Notes Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Cash from Operating Activities,Change in Fixed & Intangible Assets,Acquisition of Fixed & Intangibles,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash from Repaid Debt,Cash from Repurchase of Equity,Other Financing Activities,Cash from Financing Activities,Net Changes in Cash,Free Cash Flow,Free Cash Flow per Basic Share,Price to Free Cash Flow,Cash Flow to Net Income,"Cash, Cash Equivalents & STI",Accounts & Notes Receivable,Inventories,"Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Net Debt,Cash Conversion Cycle,Number of Employees,Last Price,Sales Actual,Net Income Actual,Enterprise Value,Price to Book,P/E,Shares Outstanding,Capital Expenditures,Personal Consumption Expenditures,CPI Urban Consumers YOY,ISM Manufacturing,Change in Nonfarm Payrolls,Unemployment Rate,Housing Starts,US Trade Balance
2000-01-01,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.931,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.918,1336,111,13322.1468,3.8874,36.385,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-02,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.931,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.918,1336,111,13322.1468,3.8874,36.385,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-03,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.5224,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.999,1336,111,14789.4376,4.2324,39.6143,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-04,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.8765,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.915,1336,111,13271.8971,3.8756,36.2744,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-05,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.1381,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.929,1336,111,13513.0956,3.9323,36.8052,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-06,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.5684,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.848,1336,111,12065.9046,3.592,33.6201,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-07,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-08,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-09,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-10,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.0481,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.873,1336,111,12508.1019,3.696,34.5934,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
