number,batch_size,corr_thresh,float_precision,limit_train_batches,log_every_n_steps,lstm_layers,max_epochs,max_prediction_length,n_splits,name,pct,reduce_on_plateau_patience,scaling_method,target,train_test_pct,val_MAPE,val_RMSE,attention_head_size,dropout,gradient_clip_val,hidden_continuous_size,hidden_size,learning_rate,duration,ckpt_path,max_encoder_length,max_study_epochs,max_train_epochs,train_loss,train_loss_epoch,train_loss_step,val_MAE,val_SMAPE,val_loss
163,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0735902339220047,12.115224838256836,7.0,0.2025230949729834,0.0113454063629057,9.0,17.0,0.0448512782296108,0 days 00:03:32.370905,,,,,,,,,,
141,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0740320086479187,12.171509742736816,10.0,0.1189762405988019,0.8091808089202981,53.0,61.0,0.5741496056452909,0 days 00:03:38.536432,,,,,,,,,,
92,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0740926638245582,12.179353713989258,12.0,0.1220532621929001,0.821855431966224,56.0,66.0,0.28086701581047,0 days 00:03:40.470609,,,,,,,,,,
53,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0741207003593444,12.25982666015625,14.0,0.1613265791587231,0.2560064364453093,7.0,45.0,0.0154621419702598,0 days 00:03:33.606706,,,,,,,,,,
3,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0747986286878585,12.264386177062988,10.0,0.1667162122091073,0.980580670852792,2.0,61.0,0.3121878896007249,0 days 00:03:29.374955,,,,,,,,,,
133,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0748232901096344,12.292635917663574,14.0,0.1366775416335008,0.2747940775984121,13.0,22.0,0.0233244572164286,0 days 00:03:32.064982,,,,,,,,,,
124,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.077686995267868,12.683823585510254,15.0,0.1355056283550725,0.2943663874973365,5.0,13.0,0.0204065876427461,0 days 00:03:29.608697,,,,,,,,,,
89,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0778340771794319,12.686541557312012,11.0,0.1054383041185439,0.8428427741422756,48.0,56.0,0.4550310920529534,0 days 00:03:39.603779,,,,,,,,,,
99,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0783867314457893,12.773656845092772,5.0,0.1133802559157323,0.5032927965087586,65.0,77.0,0.1679381768353808,0 days 00:03:40.654835,,,,,,,,,,
133,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0785404592752456,12.787296295166016,13.0,0.1723337289124386,0.4649942283121069,85.0,92.0,0.1349109710013708,0 days 00:03:40.493568,,,,,,,,,,
