Datetime,Ticker,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Income,Non-Operating Income Loss,Pretax Income,Income Tax Expense,Net Extraordinary Losses,Net Income,"Basic EPS, GAAP",Diluted Weighted Avr # of Shares,"Diluted EPS, GAAP",EBITDA,Trailing 12M EBITDA Margin,Gross Margin,Operating Margin,Profit Margin,Dividends per Share,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Non-Cash Working Capital,Change in Accounts & Notes Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Cash from Operating Activities,Change in Fixed & Intangible Assets,Acquisition of Fixed & Intangibles,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash from Repaid Debt,Cash from Repurchase of Equity,Other Financing Activities,Cash from Financing Activities,Net Changes in Cash,Free Cash Flow,Free Cash Flow per Basic Share,Price to Free Cash Flow,Cash Flow to Net Income,"Cash, Cash Equivalents & STI",Accounts & Notes Receivable,Inventories,"Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Net Debt,Cash Conversion Cycle,Number of Employees,Last Price,Sales Actual,Net Income Actual,Enterprise Value,Price to Book,P/E,Shares Outstanding,Capital Expenditures,Personal Consumption Expenditures,CPI Urban Consumers YOY,ISM Manufacturing,Change in Nonfarm Payrolls,Unemployment Rate,Housing Starts,US Trade Balance
2000-05-14,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,26.1848,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.961,1945,233,14349.4342,4.3071,34.6542,18220.159,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-15,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,24.5729,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.902,1945,233,13271.6793,4.042,32.521,18220.159,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-16,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,25.7134,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.944,1945,233,14034.2417,4.2296,34.0303,18220.159,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-17,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,24.6642,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.905,1945,233,13339.1424,4.057,32.6417,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-18,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,24.5121,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.9,1945,233,13237.4276,4.032,32.4405,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-19,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.8699,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.839,1945,233,12138.9076,3.7618,30.2671,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-20,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.8699,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.839,1945,233,12138.9076,3.7618,30.2671,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-21,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.8699,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.839,1945,233,12138.9076,3.7618,30.2671,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-22,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.8815,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.803,1945,233,11477.7613,3.5993,28.959,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-23,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,20.8779,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.766,1945,233,10806.4436,3.4342,27.6308,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-24,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.3341,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.783,1945,233,11111.588,3.5092,28.2345,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-25,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.2314,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.779,1945,233,11042.9305,3.4923,28.0987,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-26,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.0147,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.771,1945,233,10897.9869,3.4567,27.8119,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-27,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.0147,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.771,1945,233,10897.9869,3.4567,27.8119,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-28,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.0147,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.771,1945,233,10897.9869,3.4567,27.8119,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-29,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.0147,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.771,1945,233,10897.9869,3.4567,27.8119,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-30,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.3037,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.782,1945,233,11091.2451,3.5042,28.1942,18227.294,-27,0.07,3.1,54.7,291,3.8,1626,-28.598
2000-05-31,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,20.4369,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.75,1945,233,10511.4706,3.3617,27.0472,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-01,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.6838,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.796,1945,233,11345.5321,3.5668,28.6974,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-02,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.5201,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.826,1945,233,11904.9636,3.7043,29.8042,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-03,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.5201,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.826,1945,233,11904.9636,3.7043,29.8042,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-04,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.5201,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.826,1945,233,11904.9636,3.7043,29.8042,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-05,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.216,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.815,1945,233,11701.5339,3.6543,29.4017,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-06,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.5962,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.829,1945,233,11955.821,3.7168,29.9048,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-07,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.4933,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.862,1945,233,12555.9383,3.8644,31.0922,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-08,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.0676,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.847,1945,233,12271.1369,3.7944,30.5287,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-09,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.2956,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.855,1945,233,12423.7091,3.8319,30.8305,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-10,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.2956,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.855,1945,233,12423.7091,3.8319,30.8305,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-11,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.2956,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.855,1945,233,12423.7091,3.8319,30.8305,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-12,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.1856,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.814,1945,233,11681.191,3.6493,29.3615,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-13,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.9915,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.844,1945,233,12220.2795,3.7819,30.4281,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-14,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.0031,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.807,1945,233,11559.1332,3.6193,29.12,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-15,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.4745,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.825,1945,233,11874.4491,3.6968,29.7438,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-16,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.1856,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.814,1945,233,11681.191,3.6493,29.3615,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-17,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.1856,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.814,1945,233,11681.191,3.6493,29.3615,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-18,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,22.1856,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.814,1945,233,11681.191,3.6493,29.3615,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-19,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,23.5085,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.863,1945,233,12566.1098,3.8669,31.1123,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-20,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,24.6338,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.904,1945,233,13318.7994,4.052,32.6015,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-21,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,27.0667,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.993,1945,233,14946.2364,4.4522,35.8214,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-22,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,26.1544,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.96,1945,233,14335.9475,4.3021,34.6139,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-23,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,25.1508,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.923,1945,233,13664.6298,4.137,33.2857,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-24,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,25.1508,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.923,1945,233,13664.6298,4.137,33.2857,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-25,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,25.1508,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.923,1945,233,13664.6298,4.137,33.2857,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-26,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,26.3368,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.967,1945,233,14458.0053,4.3321,34.8554,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-27,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,25.1812,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.924,1945,233,13684.9728,4.142,33.326,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-28,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,26.4889,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.972,1945,233,14559.7201,4.3571,35.0567,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-29,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,24.9379,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.915,1945,233,13522.2291,4.102,33.004,18227.294,-27,0.11,3.2,53.2,218,4,1575,-29.165
2000-06-30,AAPL,1945,1396,549,0,170,-149,319,86,0,233,0.0129,20383.2156,0.0114,191,7.2403,28.2262,8.7404,11.9794,0,21,-71,105,-176,-122,-259,10,299,-172,61,-17,-27,-19,-15,0,0,30,0,30,76,34,0.0019,21.2904,0.2618,3609,940,10,314,1544,237,2095,7007,1111,0,742,1853,300,639,939,2792,1419,731,4215,4215,7007,-3309,-21.7182,6960,0.935,1945,233,13671.4024,4.2257,29.795,18227.294,-27,0.08,3.7,51.4,-39,4,1559,-30.405
2000-07-01,AAPL,1825,1282,543,0,168,-97,265,70,0,200,0.0111,20261.752,0.0098,193,7.9205,29.7534,9.2055,10.9589,0,25,-18,-17,-1,27,184,0,299,-157,234,-10,-11,-293,-505,0,0,-47,0,-47,-318,223,0.0123,21.2904,1.17,3826,967,5,314,1236,225,1775,6932,1040,0,833,1873,300,583,883,2756,1376,535,4176,4176,6932,-3526,-16.5464,6960,0.935,1825,200,13671.4024,4.2257,29.795,18227.294,-11,0.08,3.7,51.4,-39,4,1559,-30.405
